	(u"'",)	(u'3',)	(u'C',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'c',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'x',)	(u'y',)	(u'z',)
(u"'",)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
(u'3',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'C',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0	0	0	0	0	0.48285	0	0	0	0.222	0	0	0	1	0	0	0	0.1665	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0
(u'R',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'a',)	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	1	0.435461538462	0	0.302727272727	0.74	0.666	0.1665	0.475714285714	0.751935483871	0.1665	0.63936	0.3774	1	0.2775	0.0	0.256153846154	0.309214285714	0.333	0.1665	0	0
(u'b',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'c',)	0	0	0	0	0	0	0	0	0.3219	0	0	0	0	0	0	0	0	0	0.2664	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0	0	0	0	0	0	0	0.0402375	0	0	0	0.0148	0	0	0.0069375	0	0	0	0	0.0069375	0	0	0	0	0.00475714285714	0	0	0
(u'e',)	0	0.0	0	0.0	0	0.0	0.0	0.0	1	0.539142857143	0	0.246666666667	1	0.190285714286	0.222	0	1	0.0765517241379	0.7104	0.243483870968	1	1	0.0	0.0634285714286	0.481	0.148	0.222	0	0
(u'f',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
(u'i',)	0	0	0	0.0	0.0	0.0	0	0	0.16095	1	0	0.6105	0.111	0	0.18315	0	0	0.152625	0.58608	0.12973125	0.1221	0.152625	0.0	0.407	0.132275	0.3663	0	0	0.0
(u'k',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'l',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0
(u'm',)	0	0	0	0	0	0	0	0	0.0435	0.9435	0	0	0.0652941176471	0	0	0.0115625	0.97125	0	0	0	0.0213461538462	0	0	0	0	0.0555	0	0	0
(u'n',)	0	0	0	0	0	0	0	0	0.151482352941	0	0.0	0.0444	0.161454545455	0.2664	0.0333	0.222	0.282545454545	0.444	0	1	0.0134545454545	0.074	0.0	0.296	0.1924	0.2664	0	0	0
(u'o',)	0	0	0	0.0	0	0	0.0	0	0.7645125	0.59755	0.0	0.2109	0.383454545455	0.2109	0.31635	0	0.73815	0.06590625	0.33744	0.325936363636	1	0.263625	0.0	0.0916956521739	0.9139	0.6327	0	0.0	0
(u'p',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
(u'r',)	0	0	0	0	0	0	0	0	0.112665	0	0	0.3885	0.1295	0.4662	0.4662	0.0597692307692	0.9065	0.259	0.9324	1	0.19425	0.777	0	0	0	0.2331	0	0	0
(u's',)	0	0	0	0	0	0	0.0	0	0.24679	1	0	0.63825	0.3404	0.38295	0.7659	0.116045454545	1	0.4255	1	1	0.1595625	0.4255	0	1	0.1382875	0.07659	0	0	0
(u't',)	0	0.0	0	0	0	0	0	0.0	0.026825	0.11322	0	0.1665	0.041625	0	0	0.0208125	1	0.1665	0.3996	0	0.00925	0	0.0	0.333	0	0.00999	0	0	0
(u'u',)	0	0	0.0	0.0	0	0	0	0.0	0.70818	0.41514	0	0.6105	0.6105	0.3663	0.07326	0.2035	1	0.152625	0	0.159669230769	0	0.30525	0.0	0.2442	0.79365	0	0	0.0	0
(u'x',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
(u'y',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'z',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
