*FAT:	Irene dieciséis meses y cinco días .
*MOT:	a_ver (.) vas a leer una revista (.) vamos a ver lo que hay aquí .
*MOT:	que está Peter_Pan y le dices hola ?
*MOT:	a_ver (.) no la rompas (.) a_ver como lees la revista .
*MOT:	a_ver (.) mira a_ver lo que hay en la revista .
*MOT:	a_ver espera (.) <volvimos a coger una revista que se deshace> [% riendo] .
*MOT:	se rompió cariño ?
*MOT:	pero si tu no rompes ninguna .
*MOT:	a_ver (.) mira [/] mira (.) <que es esto> [/] que es esto ?
*MOT:	esto ?
*MOT:	si (.) ahí está Peter_Pan (.) si .
*MOT:	y esto que es ?
*MOT:	si (.) Peter_Pan está aquí (.) si (.) y esto que es ?
*MOT:	un tic+tac ?
*MOT:	a_ver que mas cosas hay .
*MOT:	si (.) a_ver [/] (.) ver mas cosas .
*MOT:	mira [/] mira <un tonto> [/] un tonto [=! señalando una foto] !
*MOT:	bueno (.) toma Pan [=! dandole una hoja suelta de la revista] .
*MOT:	esto que es un tonto (.) hija [=! señala una foto] ?
*MOT:	y este ?
*MOT:	otro tonto !
*MOT:	otro tonto .
*MOT:	y ahora vamos a ver que mas +...
*MOT:	mira [/] mira <tienen sombrero> [//] tienen gorro como Irene !
*MOT:	donde tienes tu el gorro (.) cariño ?
*MOT:	ahí en la cabecita .
*MOT:	no (.) ahora no lo tienes (.) no .
*MOT:	donde vas (.) eh (.) eh (.) eh (.) cuidado !
*MOT:	aúpa (.) espera [/] espera [/] espera que tu sola no puedes .
*MOT:	no (.) Irene (.) de pies en el sillón no (.) sientate [/] (.) sientate !
*MOT:	a_ver te enseño mama a bajar del sillón (.) tienes que saber tu bajar del sillón sola .
*MOT:	como se baja del sillón ?
*MOT:	como te enseño mama a bajar .
*MOT:	así (.) que mas ?
*MOT:	no (.) no (.) cogiendo la mano de mama no .
*MOT:	tienes que darte la vuelta .
*MOT:	así y así .
*MOT:	mas &=rie (.) como que mas [/] (.) mas no (.) <ya bajaste> [/] ya bajaste .
*MOT:	quien está ahí ?
*MOT:	y que hace papa ?
*MOT:	dile a papa donde está el Nacimiento (.) hija .
*MOT:	dile a papa donde está el Nacimiento .
*MOT:	ahí !
*MOT:	y que hay en el Nacimiento (.) Irene que hay en el Nacimiento ?
*MOT:	hay un perrin [: perro] en el Nacimiento (.) y que mas hay en el Nacimiento .
*MOT:	biii@o [=! mirando para donde está el Nacimiento] .
*MOT:	bebe@o (.) las ovejinas [: ovejitas] (.) y que mas ?
*MOT:	no (.) no hay ninguna vaquina [: vaca] (.) eh ?
*MOT:	hay una vaquina [: vaca] en el Nacimiento ?
*MOT:	otro que ?
*MOT:	ah (.) otro mira (.) los calcetines (.) si .
*MOT:	de quien son los calcetines ?
*MOT:	y el otro ?
*MOT:	de Irene .
*MOT:	y el otro ?
*MOT:	de quien es ?
*MOT:	las ovejinas [: ovejitas] (.) si .
*MOT:	oye Irene dile a papa que letras sabes ?
*MOT:	la a@l .
*MOT:	que otra ?
*MOT:	la o@l .
*MOT:	y otra mas ?
*MOT:	cual es la otra letra que sabes ?
*MOT:	si (.) la a@l (.) la o@l y la ?
*MOT:	y la i@l : .
*MOT:	que ?
*MOT:	quieres verlas ?
*MOT:	www .
*MOT:	ven a_ver dile a +...
*MOT:	no aquí [/] aquí (.) ven [/] (.) ven [/] ven aquí (.) bueno a_ver +//.
*MOT:	levantate [/] levantate para verlas (.) ven !
*MOT:	aúpa (.) eso .
*MOT:	a_ver (.) dile a papa que letra es [=! señalando la letra o] ?
*MOT:	muy bien (.) la o@l !
*MOT:	ahora que letra es esta [=! señalando la letra i@] ?
*MOT:	muy bien [=! gritando] (.) la i@l !
*MOT:	<y que letra es esta> [% con tono musical] (.) Irene [=! señalando la letra a] ?
*MOT:	muy bien (.) bravo [=! aplaudiendo] !
*MOT:	bravo mi amor [=! le da un beso] !
*MOT:	bravo [<] (.) que ?
