*FAT:	Irene tiene diecisiete meses y un día .
*MOT:	no (.) ahora vamos a comer el yoghourt (.) vale (.) mm ?
*MOT:	el blanco (.) muy bien (.) el blanco .
*MOT:	pon el muñeco blanco ahí [= en la mesa] !
*MOT:	y ese es (.) amarillo [=! cogiendolo y colocandolo junto al blanco en la trona] [/] (.) amarillo .
*MOT:	eso (.) pon ahí [= mesa] el muñeco blanco !
*MOT:	no: (.) ese es el amarillo [% con tono musical] (.) bueno (.) el amarillo !
*MOT:	ahora pon el muñeco blanco .
*MOT:	eso es (.) ahora dime (.) cual es el blanco ?
*MOT:	cual [/] cual es el blanco ?
*MOT:	bi:en (.) y cual es el amarillo ?
*MOT:	bi:en [//] (.) muy bien !
*MOT:	y <eso que es> [//] <esto que es> [= yoghourt] ?
*MOT:	ay (.) que se equivoca mama !
*MOT:	que mi vida ?
*MOT:	no quieres mas yoghourt ?
*MOT:	un poquito ?
*MOT:	que quieres cariño (.) no hay mas potito !
*MOT:	ya se acabó (.) cariño .
*MOT:	no (.) ya se acabó (.) un poco de yoghourt ?
*MOT:	uy (.) <que grande es esta> [//] que grande !
*MOT:	mm [% dandole una cucharada de yoghourt] !
*MOT:	donde está el perrito ?
*MOT:	a_ver (.) buscalo !
*MOT:	a_ver [=! mirando la pagina donde está la niña] ?
*MOT:	donde está el perrin [: perro] (.) tienes que buscar +//.
*MOT:	a_ver buscalo !
*MOT:	busca el pe:rro ?
*MOT:	au (.) oh (.) oh (.) oh !
*MOT:	oh (.) oh (.) oh (.) aquí [x 3] .
*MOT:	<hoy me he propuesto tirarlo todo por la ropa> [% en voz baja] .
*MOT:	<donde está> [/] donde está el perrin [: perro] ?
*MOT:	ahí (.) donde ?
*MOT:	oh (.) oh (.) oh (.) <oy (.) oy oy (.) oy> [% riendo] (.) se cerro !
*MOT:	buscalo !
*MOT:	marchó (.) a_ver ?
*MOT:	<que [/] que pasa> [% riendo] ?
*MOT:	tonto yo &=rie (.) eso que lo dice papi (.) vida ?
*MOT:	<cuando le llamas tonto> [//] como le dices <a papá> [>] +//.
*MOT:	vaya [/] vaya (.) eso no se dice .
*MOT:	y como dice papá cuando le llamas tonto ?
*MOT:	tonto yo .
*MOT:	ah (.) es guapo papá (.) <guapo (.) guapo> [/] (.) guapo (.) guapo .
*MOT:	eh (.) el potito mi amor (.) si (.) pero ya se acabó el potito (.) ahora están comiendo el yoghourt que te <gusta mucho> [>] .
*MOT:	<tonta no (.) cu:ci> [% con tono musical] !
*MOT:	llama a Cuci (.) a_ver (.) llama a Cuci !
*MOT:	Pedrin (.) no (.) <a Cuci> [//] llama a Cuci .
*MOT:	Pedrin (.) no (.) Cuci .
*MOT:	ven Pedrin !
*MOT:	si viene Pedrin te dice Irene [% con voz ronca] !
*MOT:	si (.) como te dice Pedrin (.) hay que comerlo [% imitando la voz] !
*MOT:	ah (.) pipi ven (.) eso si (.) eso es (.) Cuci ven .
*MOT:	mm ?
*MOT:	papá ven (.) pero si papá está ahí (.) donde está papá ?
*MOT:	ah (.) está ahí [=! riendose] (.) que está haciendo ?
*MOT:	cucú (.) se está escondiendo hija ?
*MOT:	que ?
*MOT:	anda ?
*MOT:	<ah: ah:> [=! negando] (.) que hay que hacer primero .
*MOT:	comer claro (.) hay que <comerlo todo> [>] .
*MOT:	hay que comer el yoghourt .
*MOT:	oy (.) oy (.) oy: (.) eso que es ?
*MOT:	no quieres mas yoghourt ?
*MOT:	vale pues no mas yoghourt (.) no comemos mas yoghourt .
*MOT:	a_ver dime como te dice Cuci (.) mi vida .
*MOT:	o:jo .
*MOT:	boca .
*MOT:	adiós Pedrin .
*MOT:	y orejas [//] te dice orejas también Cuci ?
*MOT:	donde [/] donde están las orejas ?
*MOT:	ahí (.) y (.) <la nariz> [//] donde está la naricita de Irene ?
*MOT:	donde está la naricina [: nariz] de Irene ?
*MOT:	<ahí> [% riendo] (.) y la boca ?
*MOT:	que quieres (.) la esponja ?
*MOT:	no (.) <la esponja ahora no> [/] la esponja ahora no (.) la esponja es (.) cuando te estás bañando .
*MOT:	mm ?
*MOT:	ay (.) ay (.) ay (.) no metas ahí <la manita> [>] .
*MOT:	<no metas ahí la mano> [/] no metas <ahí la mano> [>] .
*MOT:	<ay (.) ay (.) ay> [/] (.) ay (.) ay (.) ay (.) no +//.
*MOT:	veo que tienes el culete un poco malo (.) eh ?
*MOT:	no es champú (.) es crema .
*MOT:	eh (.) no (.) si lo metes en la boca que te lo quito (.) eh ?
*MOT:	es caca (.) claro que es caca .
*MOT:	<si lo metes en la &+bo> [//] si lo metes en la boca te lo quito (.) eh ?
*MOT:	bueno (.) pues fuera .
*MOT:	se acabó !
*MOT:	no te doy el champú si lo metes en la boca .
*MOT:	como se pide ?
*MOT:	como ?
*MOT:	pero no lo metas en la boca (.) Irene (.) si lo metes en la boca te lo quito !
*MOT:	Irene !
*MOT:	Irene !
*MOT:	no !
*MOT:	shh !
*MOT:	me da igual que grites (.) no !
*MOT:	no !
*MOT:	oy &=rie !
*MOT:	<me da igual que grites (.) Irene> [% riendo] .
*MOT:	<me da igual que grites> [% riendo] !
*MOT:	no (.) no (.) no .
*MOT:	no (.) no (.) y no .
*MOT:	no (.) no (.) y no .
*MOT:	vas a meterlo en la boca ?
*MOT:	lo vas a meter en la boca ?
*MOT:	vale (.) pero no lo metas en la boca .
*MOT:	no lo metas en la boca .
*MOT:	pero bueno te estoy diciendo que no lo metas en la boca .
*MOT:	arriba !
