dir path	filename	child age	# participants	partipant type	# adults
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_36	2;2.14	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_45	2;5.27	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10g_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_25	1;9.28	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_53	2;9.26	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_28	1;10.29	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_08a_ornat	2;01.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04	1;1.28	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_08d_ornat	2;01.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07b_ornat	2;0.	3	Mother;Father;Uncle;	3
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02f_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04a_ornat	1;09.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12b_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05b_ornat	1;10.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_29	1;11.01	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_01	0;11.01	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02e_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_09e_ornat	2;02.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11b_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10d_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_26	1;10.16	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02a_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_35	2;1.29	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_01f_ornat	1;7.	2	Mother;Father;	2
